pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,exempted_domain_count,exempted_domains,reference_route_count,exempted_route_count,missing_route_count,top_missing_routes,app_daily_spend_exempted,exempted_route_network_daily,missing_route_network_daily,reference_route_network_daily,penetration_rate,est_uplift_missed_daily
LY Corporation,5efeed113191d60018f0f4e0,APAC,Ives Cui,LINE：ディズニーツムツム,623a9298a2335a0f5b77a0aa,724594093,1663.9521,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
LOTUM Media GmbH,561e8d936b8d90f61a0014ca,EMEA,Hadil Salameh,4 Pics 1 Word iOS,5130b34aff10712a34000051,595558452,1732.9825,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
GeoTechnologies Inc.,5f45fb2f150074001547df11,APAC,Nam Trinh,トリマ-移動するだけでポイントが貯まる,5f45ffd8256e1b0001a4189a,jp.co.incrementp.milemobile,1808.1312,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,36161.2567,6924.2864,43085.5431,0.0,0.0
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Jigsawcard iOS,69154b0b1de7be35146a52bd,6754900673,2000.8595,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,23714.927,19903.8823,43618.8093,0.0,0.0
Supercell,561e8d936b8d90f61a000ade,EMEA,Hadil Salameh,Hay Day IOS,50046b006d791be34e17e959,506627515,7067.9101,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,Dream Island - Match 3 Games,647dbe0bb7a4c97fb3997264,com.dream.free.games.match3,2227.9975,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon iOS,63974e72c5c2a3f1faf76b37,6443484197,1306.6428,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,53109.9717,27281.3229,80391.2946,0.0,0.0
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Cake Sort - Color Puzzle Game IOS PM D2M,64781b96dac1393f38b604ca,6448392144,892.843,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,23714.927,19903.8823,43618.8093,0.0,0.0
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Word Search Explorer : Fun Game,63dd0e73ff93460cff697297,1602508478,2455.9444,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,12,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,0.0,49390.8285,694.0674,50084.8959,0.0,0.0
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews,67d272b5dc73e19db732c193,jp.gocro.smartnews.android,2759.772,5,"casino.draftkings.com,draftkings.com,kalshi.com,sportsbook.draftkings.com,wsj.com",10,7,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,48572.9747,5303.1019,53876.0766,0.0,0.0
Playsimple Games,568b8cb3bb2089a80600000a,Americas,Rutvij Jadav,Daily Themed Crossword - A Fun crossword iOS,5af55340bfc6be4ab9a686f0,1197354394,2756.8539,7,"casino.draftkings.com,draftkings.com,fanaticsinc.com,fanduel.com,hardrock.bet,sportsbook.draftkings.com,underdogfantasy.com",13,12,1,hardrock.bet|60770b778d0e4a0015f20ea9|US,0.0,49390.8285,694.0674,50084.8959,0.0,0.0
IEC Global Pty Ltd.,5b1f351e3eddeb10ce7fa54c,APAC,Nam Trinh,Water Sort Puzzle iOS,5f2d0c03f503650001351c59,1514542157,916.6048,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,23714.927,19903.8823,43618.8093,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Solitaire – Classic Card Game,59c0bfe44b342c7f280015fe,1190849728,1907.0377,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,53109.9717,27281.3229,80391.2946,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram IOS,5c88efab1c2e1f6eb4ca10cc,1452992954,2522.3054,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43679.5822,36711.7124,80391.2946,0.0,0.0
GeoTechnologies Inc.,5f45fb2f150074001547df11,APAC,Nam Trinh,トリマ-移動するだけでポイントが貯まる,5f45ffa82f1f7c000130fe19,1502193377,2510.4773,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,36161.2567,6924.2864,43085.5431,0.0,0.0
LY Corporation,5efeed113191d60018f0f4e0,APAC,Ives Cui,LINEウォーク,66469fc26e3e372b114a92e3,6474006815,962.5528,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Mattel163 Limited,5b0fc58f19829714e5ad0d2f,APAC,Aria Gao,Skip-Bo Android,60891d3bc6ed3ae6ebd0cf3a,com.mattel163.skipbo,963.685,38,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,kalshi.com,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top",32,10,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,50633.0179,36565.3976,87198.4155,0.0,0.0
LY Corporation,5efeed113191d60018f0f4e0,APAC,Ives Cui,LINEウォーク,66469ff403a2e938b0e09a17,com.linecorp.LGWALK,984.3863,33,"a23.com,a23poker.com,bc91231.com,blackjackist.com,com.id5l777.ntla197,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top,olimp.bet,pari.ru,play.zhsta.com",21,4,17,pari.ru|5f6413c9612b1a0015099993|RU; mintegral.com|60bdc983a982ad0017edb6f7|RU; ligastavok.ru|5f6413c9612b1a0015099993|RU,0.0,8889.5341,21416.8646,30306.3987,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Puzzles IOS,5a30e47b794900452500459c,1324604053,4309.4034,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43679.5822,36711.7124,80391.2946,0.0,0.0
Pocket Entertainment Services LLC,6315b8713c59f7001bacf8fb,Americas,Rutvij Jadav,PocketFM Android,6315b8bb85b5a14b0bbc9454,com.radio.pocketfm,2377.0222,42,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,bet.batery.in.twa-twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43679.5822,36711.7124,80391.2946,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,"Sweet Crunch - Matching, Blast Puzzle Game",6051fadcdec34f1e8a8888cc,com.cookie.match3.casual,1034.5435,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,6,3,sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,5303.1019,43618.8093,0.0,0.0
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,Hole.io,5b2a4c2c8815f423b86d090f,io.voodoo.holeio,1045.8782,3,"casino.draftkings.com,draftkings.com,fanaticsinc.com",9,5,4,draftkings.com|602442ef9f0893001526406b|US; casino.draftkings.com|602442ef9f0893001526406b|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,36161.2567,6924.2864,43085.5431,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Number Match IOS,5fdfae0fc5d4c9ab8efa6701,1545567989,7299.1855,41,"a23.com,a23poker.com,bc91231.com,bet.batery.in.twa,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru",34,12,22,casino.draftkings.com|5f6413c9612b1a0015099993|CA; pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US,0.0,43679.5822,36711.7124,80391.2946,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Hidden Spots,6672d811429c14443ac5fb6d,com.easybrain.hidden.spots,1078.6017,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words GP,64f9e2ac8fb8ac04ca897cd1,com.easybrain.word.puzzle.game,2316.8434,36,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com,mt.dhgygw.top,mt.hug8e.top",30,9,21,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,45050.7908,28341.151,73391.9418,0.0,0.0
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle PM_1945,660a20c0c5f237ebf7b4ac68,com.fc.goods.sort.matching.puzzle.triplemaster,2243.5693,3,"casino.draftkings.com,draftkings.com,sportsbook.draftkings.com",9,2,7,casino.draftkings.com|5f6413c9612b1a0015099993|CA; draftkings.com|602442ef9f0893001526406b|US; sportsbook.draftkings.com|5bc0e10e25c7d7796ebe8fc0|US,0.0,23714.927,19903.8823,43618.8093,0.0,0.0
Gravity Labs,677cecb33b9ea20011273987,APAC,Ives Cui,moneywalk_AOS,677e35a5d7a0b145879b00a7,com.tracerofficial,2237.4241,2,"casino.draftkings.com,draftkings.com",8,6,2,draftkings.com|5bc0e10e25c7d7796ebe8fc0|US; draftkings.com|5bc0e10e25c7d7796ebe8fc0|CA,0.0,38315.7074,1753.8955,40069.6029,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Backgammon GP,615dd65a5e0f3b245d50aa97,com.easybrain.backgammon.board.games,1609.4442,40,"a23.com,a23poker.com,bc91231.com,blackjackist.com,casino.draftkings.com,com.id5l777.ntla197,draftkings.com,fanaticsinc.com,fanduel.com,fon.bet,fonbet.ru,gameqqx.com,games24x7.com,gatesofolympus.com,googll.store,hardrock.bet,id.mpl.live,lattfolloweaken.com,ligastavok.ru,mintegral.com",34,14,20,pari.ru|5f6413c9612b1a0015099993|RU; draftkings.com|602442ef9f0893001526406b|US; mintegral.com|60bdc983a982ad0017edb6f7|RU,0.0,53109.9717,27281.3229,80391.2946,0.0,0.0
